Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;158449;0,3188;2023-03-13 15:28:45
Masculino;338436;0,681;2023-03-13 15:28:45
Não divulgável;92;0,0002;2023-03-13 15:39:09
