Gênero;Quantitativo;Porcentagem;Data de carga
Masculino;330020;0,6835;2023-02-14 08:47:37
Não divulgável;1086;0,0022;2023-02-14 08:47:37
Feminino;151762;0,3143;2023-02-14 08:47:37
