Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;159005;0,3431;2024-11-26 12:30:55
Masculino;304344;0,6568;2024-11-26 12:30:55
Não divulgável;45;0,0001;2024-11-26 12:30:55
