Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;2871;0,1447;2023-03-29 11:16:54
Não informado;181;0,0091;2023-03-29 11:16:54
Masculino;16787;0,8462;2023-03-29 11:16:54
