Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;159005;0,3431;2024-11-14 12:30:17
Masculino;304344;0,6568;2024-11-14 12:30:17
Não divulgável;45;0,0001;2024-11-14 12:30:17
