Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;187021;0,3354;2024-09-30 11:01:17
Masculino;370378;0,6641;2024-09-30 11:01:17
Não divulgável;279;0,0005;2024-09-30 11:01:17
