Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;85323;0,2124;2023-03-01 19:04:08
Não informado;209;0,0005;2023-03-01 19:04:08
Masculino;316085;0,787;2023-03-01 19:04:08
