Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;73652;0,1844;2024-01-19 18:39:50
Não informado;148;0,0004;2024-01-19 18:39:50
Masculino;325530;0,8152;2024-01-19 18:39:50
